,author_id,conversation_id,tweet_created_at,id,in_reply_to_user_id,lang,reply_settings,source,text,geo,retweeted,replied_to,quoted,like_count,quote_count,reply_count,retweet_count,Place,Organization,Person,Other,Probability,user_mentioned,index,user_created_at,description,name,username,location,followers_count,following_count,listed_count,tweet_count,description.mentions,hashtags,sentiment
131,596174897,1324917905180471302,2020-11-07T03:33:39.000Z,1324917905180471302,,en,everyone,Twitter Web App,RT @danielchaitin7: Rep. Paul Gosar (@RepGosar) of Arizona says officials should take a closer look at the voting machines used in Maricopa…,,1.32486661401421e+18,,,0,0,1,0,AZ,,,,0.882,1.0925253175063756e+18,0,2012-06-01T06:11:03.000Z,"Christian.  Politically Independent of BOTH Parties.  Proud G.R.I.T.S. (it's a southern thing, y'all).  RT ≠ Agreement.  🇺🇸  #ProLife",Wanda,wandaoaj,USA,916,822,1,82035,,['ProLife'],Positive
133,1309864416767139853,1325069965880258560,2020-11-07T13:37:53.000Z,1325069965880258560,,en,everyone,Twitter for Android,RT @danielchaitin7: Rep. Paul Gosar (@RepGosar) of Arizona says officials should take a closer look at the voting machines used in Maricopa…,,1.32486661401421e+18,,,0,0,1,0,AZ,,,,0.882,1.0925253175063756e+18,0,2020-09-26T14:37:20.000Z,❤️LOVE MY PRESIDENT🇺🇲 @potus 🙏🌟#VETS #2A🔫 #ProLife👶#Constitution🇺🇲 #1stResponders🚒🚑🚓 Starting over GRR! twitter sucks👎👎,Patriot Mom✝️,Patriot76679474,"Arizona, USA 🌵",477,0,0,6464,"[{'end': 28, 'start': 22, 'username': 'potus'}]","['VETS', '2A', 'ProLife', 'Constitution', '1stResponders']",Positive
157,2453578782,1325112073047642113,2020-11-07T16:25:12.000Z,1325112073047642113,,en,everyone,Twitter Web App,"Maricopa County (Phoenix), AZ currently Blue using Dominion Voting Systems, software Democracy Suite.
https://t.co/Fzz8LPzhgR
@PamBondi @realDonaldTrump https://t.co/eEZgbnXiEz https://t.co/Y0IPJoANUs",,1.32486661401421e+18,,,0,0,1,0,AZ,,,,0.882,1.0925253175063756e+18,0,2014-04-19T19:12:14.000Z,"Blockchain focused, entered Rabbit Hole 2016. Found $LINK @chainlink @ $0.22 & sold too early. Next chapter $CELL @cellframenet & $KEL @kelvpn. Quantum Security",Tracking Trades,trackingtrades,Rabbit Hole,426,147,9,3700,"[{'end': 68, 'start': 58, 'username': 'chainlink'}, {'end': 127, 'start': 114, 'username': 'cellframenet'}, {'end': 142, 'start': 135, 'username': 'kelvpn'}]",,Negative
160,290156022,1325153636305887232,2020-11-07T19:10:21.000Z,1325153636305887232,,en,everyone,Twitter for Android,RT @Frankz2137: @Peoples_Pundit @LauraBaris Mr. Baris. Its Dominion Voting Services. Michigan Glitch..Georgia glitch...Maricopa AZ...Clark…,,1.32486661401421e+18,,,0,0,1,0,AZ,,,,0.882,1.0925253175063756e+18,0,2011-04-29T20:31:00.000Z,"🇺🇸 Black, Conservative, Yinzer, Nevadan, Pro 2A, Patriot, #MAGA, #KAG, I Follow Back.",🇺🇸President-Elect BT 2020🇺🇸,TylerGang412,"Las Vegas, NV",451,2880,4,8805,,"['MAGA', 'KAG']",Negative
163,556291837,1325162148641824768,2020-11-07T21:37:00.000Z,1325190539839369216,8.045005178040648e+17,en,everyone,Twitter Web App,"@Lwbayfront URL Correction

Look at which states the article says uses Dominion Democracy Suite 5.5 software --- 

https://t.co/ozwrBISdJJ

""Dominion Voting Systems software is also used in Pennsylvania, Georgia, Wisconsin, Nevada, Minnesota and in Maricopa County, Arizona.""",,1.32486661401421e+18,,,0,0,1,0,AZ,,,,0.882,1.0925253175063756e+18,0,2012-04-17T21:16:53.000Z,"https://t.co/wm3OwKQQo2 - because ""... not all Witches are liberal ... and not every Pagan votes democrat ...""",Autumn Zajczerova,SexyAutumn1980,"Austin, TX",235,890,9,1863,,,Negative
164,556291837,1325182310334029824,2020-11-07T21:35:59.000Z,1325190285140385794,8.045005178040648e+17,en,everyone,Twitter Web App,"@Lwbayfront URL Correction

Look at which states the article says uses Dominion Democracy Suite 5.5 software --- 

https://t.co/ozwrBJ9P8j

""Dominion Voting Systems software is also used in Pennsylvania, Georgia, Wisconsin, Nevada, Minnesota and in Maricopa County, Arizona.""",,1.3248664845360128e+18,,,0,0,0,94,Maricopa,,,,0.889,240760644.0,0,2012-04-17T21:16:53.000Z,"https://t.co/wm3OwKQQo2 - because ""... not all Witches are liberal ... and not every Pagan votes democrat ...""",Autumn Zajczerova,SexyAutumn1980,"Austin, TX",235,890,9,1863,,,Negative
165,556291837,1325111070793601024,2020-11-07T20:14:19.000Z,1325169731545030656,65644824.0,en,everyone,Twitter Web App,"@JoeDanMedia @carrieksada Look at which states the article says uses Dominion Democracy Suite 5.5 software https://t.co/lZhYapOOx8  --- ""Dominion Voting Systems software is also used in Pennsylvania, Georgia, Wisconsin, Nevada, Minnesota and in Maricopa County, Arizona.""",,1.3248663021005087e+18,,,0,0,0,94,Maricopa,,,,0.889,240760644.0,0,2012-04-17T21:16:53.000Z,"https://t.co/wm3OwKQQo2 - because ""... not all Witches are liberal ... and not every Pagan votes democrat ...""",Autumn Zajczerova,SexyAutumn1980,"Austin, TX",235,890,9,1863,,,Negative
166,556291837,1325111070793601024,2020-11-07T21:28:33.000Z,1325188415550185472,556291837.0,en,everyone,Twitter Web App,"@JoeDanMedia @carrieksada URL Correction

Look at which states the article says uses Dominion Democracy Suite 5.5 software --- 

https://t.co/ozwrBISdJJ

""Dominion Voting Systems software is also used in Pennsylvania, Georgia, Wisconsin, Nevada, Minnesota and in Maricopa County, Arizona.""",,1.3248663021005087e+18,,,0,0,0,94,Maricopa,,,,0.889,240760644.0,0,2012-04-17T21:16:53.000Z,"https://t.co/wm3OwKQQo2 - because ""... not all Witches are liberal ... and not every Pagan votes democrat ...""",Autumn Zajczerova,SexyAutumn1980,"Austin, TX",235,890,9,1863,,,Negative
167,556291837,1325110879768236038,2020-11-07T21:28:02.000Z,1325188286193704965,556291837.0,en,everyone,Twitter Web App,"@KamVTV @MAGARoseTaylor URL Correction

Look at which states the article says uses Dominion Democracy Suite 5.5 software --- 

https://t.co/ozwrBISdJJ

""Dominion Voting Systems software is also used in Pennsylvania, Georgia, Wisconsin, Nevada, Minnesota and in Maricopa County, Arizona.""",,1.3248658133256806e+18,,,0,0,0,94,Maricopa,,,,0.889,240760644.0,0,2012-04-17T21:16:53.000Z,"https://t.co/wm3OwKQQo2 - because ""... not all Witches are liberal ... and not every Pagan votes democrat ...""",Autumn Zajczerova,SexyAutumn1980,"Austin, TX",235,890,9,1863,,,Negative
168,556291837,1325128932283228161,2020-11-07T21:26:22.000Z,1325187866520145920,556291837.0,en,everyone,Twitter Web App,"@RubyRockstar333 URL Correction

Look at which states the article says uses Dominion Democracy Suite 5.5 software --- 

https://t.co/ozwrBJ9P8j

""Dominion Voting Systems software is also used in Pennsylvania, Georgia, Wisconsin, Nevada, Minnesota and in Maricopa County, Arizona.""",,1.3248660110494351e+18,,,0,0,0,94,Maricopa,,,,0.889,240760644.0,0,2012-04-17T21:16:53.000Z,"https://t.co/wm3OwKQQo2 - because ""... not all Witches are liberal ... and not every Pagan votes democrat ...""",Autumn Zajczerova,SexyAutumn1980,"Austin, TX",235,890,9,1863,,,Negative
